"github.com/fsnotify/fsnotify","BSD-3-Clause"
"github.com/hashicorp/hcl","MPL-2.0"
"github.com/magiconair/properties","BSD-2-Clause"
"github.com/mitchellh/mapstructure","MIT"
"github.com/ory/go-acc","Apache-2.0"
"github.com/pelletier/go-toml/v2","MIT"
"github.com/spf13/afero","Apache-2.0"
"github.com/spf13/cast","MIT"
"github.com/spf13/cobra","Apache-2.0"
"github.com/spf13/jwalterweatherman","MIT"
"github.com/spf13/pflag","BSD-3-Clause"
"github.com/spf13/viper","MIT"
"github.com/subosito/gotenv","MIT"
"golang.org/x/sys/unix","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"gopkg.in/ini.v1","Apache-2.0"
"gopkg.in/yaml.v3","MIT"
"github.com/spf13/cobra","Apache-2.0"
"github.com/spf13/pflag","BSD-3-Clause"
"github.com/fsnotify/fsnotify","BSD-3-Clause"
"github.com/hashicorp/hcl","MPL-2.0"
"github.com/magiconair/properties","BSD-2-Clause"
"github.com/mitchellh/mapstructure","MIT"
"github.com/pelletier/go-toml/v2","MIT"
"github.com/spf13/afero","Apache-2.0"
"github.com/spf13/cast","MIT"
"github.com/spf13/jwalterweatherman","MIT"
"github.com/spf13/pflag","BSD-3-Clause"
"github.com/spf13/viper","MIT"
"github.com/subosito/gotenv","MIT"
"golang.org/x/sys/unix","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"gopkg.in/ini.v1","Apache-2.0"
"gopkg.in/yaml.v3","MIT"

